"Keyword","Type","Target URL","Search Intent","Page Type","Cluster","Priority","Current Status","Cannibalization","Notes"
"online pdf tools","Primary","\/","commercial","Homepage","General PDF Tools","High","Active","No Issue","Homepage owns broad PDF management terms. Do not falsely imply official affiliation with competitor brands."
"merge pdf","Primary","\/merge-pdf","transactional","Tool","Organize PDF","High","Active","No Issue","Single primary keyword owner for merge PDF searches."
"split pdf","Primary","\/split-pdf","transactional","Tool","Organize PDF","High","Active","No Issue","Single primary keyword owner for split PDF searches."
"compress pdf","Primary","\/compress-pdf","transactional","Tool","Optimize PDF","High","Active","No Issue","High demand transactional tool page for PDF compression."
"pdf to word","Primary","\/pdf-to-word","transactional","Converter","Convert From PDF","High","Active","No Issue","Primary converter tool for PDF to Word \/ DOCX."
"word to pdf","Primary","\/word-to-pdf","transactional","Converter","Convert To PDF","High","Active","No Issue","Primary converter tool for Word to PDF."
"pdf to excel","Primary","\/pdf-to-excel","transactional","Converter","Convert From PDF","High","Active","No Issue","Extracts tabular data directly to Excel spreadsheets."
"excel to pdf","Primary","\/excel-to-pdf","transactional","Converter","Convert To PDF","High","Active","No Issue","Converts Excel spreadsheets into PDF documents."
"pdf to powerpoint","Primary","\/pdf-to-powerpoint","transactional","Converter","Convert From PDF","High","Active","No Issue","Converts PDFs into editable PPTX slides."
"powerpoint to pdf","Primary","\/powerpoint-to-pdf","transactional","Converter","Convert To PDF","High","Active","No Issue","Converts PPT and PPTX presentations into PDF."
"jpg to pdf","Primary","\/jpg-to-pdf","transactional","Converter","Convert To PDF","High","Active","No Issue","High demand image-to-PDF converter."
"pdf to jpg","Primary","\/pdf-to-jpg","transactional","Converter","Convert From PDF","High","Active","No Issue","Extracts images or saves PDF pages as JPG."
"png to pdf","Primary","\/png-to-pdf","transactional","Converter","Convert To PDF","Medium","Active","No Issue","Converts PNG transparent image files to PDF."
"pdf to png","Primary","\/pdf-to-png","transactional","Converter","Convert From PDF","Medium","Active","No Issue","Converts PDF pages into transparent PNG images."
"html to pdf","Primary","\/html-to-pdf","transactional","Converter","Convert To PDF","Medium","Active","No Issue","Converts web pages and HTML files to PDF."
"pdf to html","Primary","\/pdf-to-html","transactional","Converter","Convert From PDF","Medium","Active","No Issue","Converts PDF files into responsive HTML code."
"pdf to text","Primary","\/pdf-to-txt","transactional","Converter","Convert From PDF","Medium","Active","No Issue","Extracts plain text content from PDFs."
"text to pdf","Primary","\/txt-to-pdf","transactional","Converter","Convert To PDF","Medium","Active","No Issue","Converts raw text and TXT files to formatted PDF."
"pdf editor","Primary","\/edit-pdf","transactional","Editor","Edit PDF","High","Active","No Issue","Full PDF editing suite allowing online text, shape, and drawing modifications."
"sign pdf","Primary","\/sign-pdf","transactional","Editor","Sign & Security","High","Active","No Issue","Online electronic signature tool for signing PDF contracts and forms."
"watermark pdf","Primary","\/watermark-pdf","transactional","Editor","Edit PDF","Medium","Active","No Issue","Applies custom text or image watermarks to PDF pages."
"rotate pdf","Primary","\/rotate-pdf","transactional","Editor","Organize PDF","Medium","Active","No Issue","Rotates landscape\/portrait PDF pages permanently."
"crop pdf","Primary","\/crop-pdf","transactional","Editor","Edit PDF","Medium","Active","No Issue","Crops PDF page margins and frame dimensions."
"organize pdf","Primary","\/organize-pdf","transactional","Tool","Organize PDF","Medium","Active","No Issue","Interactive visual drag-and-drop page reordering tool."
"remove pages from pdf","Primary","\/remove-pages","transactional","Tool","Organize PDF","Medium","Active","No Issue","Deletes specific unwanted pages from a PDF document."
